id,tuin_naam,stijl,planten,biodiversiteit_score,aantrekkingskracht,tuin_bio
601690,Tuin_1,Klassiek,"Veldsalie, Blaassilene, Gewone ossentong, Moerasvergeet-mij-nietje, Dagkoekoeksbloem, Muskuskruid",6,bijen,Deze tuin is ontworpen in een klassiek stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
432461,Tuin_2,Natuurlijk,"Knikkende distel, Dagkoekoeksbloem, Gewone ossentong, Wilde marjolein, Gewone margriet, Echte sleutelbloem, Grote kattenstaart",7,"bijen, vlinders","Deze tuin is ontworpen in een natuurlijk stijl. Deze tuin trekt vooral bijen, vlinders aan en draagt bij aan een levendige tuinomgeving."
419944,Tuin_3,Modern,"Sint-janskruid, Egelboterbloem, Blaassilene, Boerenwormkruid, Echte koekoeksbloem, Echte sleutelbloem",6,bijen,Deze tuin is ontworpen in een modern stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
546551,Tuin_4,Natuurlijk,"Wilde marjolein, Kleine ratelaar, Moerasandoorn, Veldsalie, Grote kattenstaart, Veldzuring, Wilde narcis",7,"bijen, vlinders","Deze tuin is ontworpen in een natuurlijk stijl. Deze tuin trekt vooral bijen, vlinders aan en draagt bij aan een levendige tuinomgeving."
409285,Tuin_5,Klassiek,"Echte koekoeksbloem, Zevenblad, Muskuskruid, Kruipwilg, Zandraket, Gele morgenster",6,bijen,Deze tuin is ontworpen in een klassiek stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
874377,Tuin_6,Natuurlijk,"Boerenwormkruid, Echte sleutelbloem, Dagkoekoeksbloem, Zomerfijnstraal, Kruipend zenegroen, Bosandoorn, Wilde cichorei",7,bijen,Deze tuin is ontworpen in een natuurlijk stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
953535,Tuin_7,Klassiek,"Moerasvergeet-mij-nietje, Dagkoekoeksbloem, Zandraket, Zevenblad, Egelboterbloem, Echte koekoeksbloem",6,bijen,Deze tuin is ontworpen in een klassiek stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
261648,Tuin_8,Onderhoudsvriendelijk,"Vlasbekje, Grote kaardebol, Wilde narcis, Gele morgenster, Kleine ratelaar",5,"bijen, vlinders","Deze tuin is ontworpen in een onderhoudsvriendelijk stijl. Deze tuin trekt vooral bijen, vlinders aan en draagt bij aan een levendige tuinomgeving."
327537,Tuin_9,Onderhoudsvriendelijk,"Grote kaardebol, Veldsalie, Echte koekoeksbloem, Beemdkroon, Wilde bertram",5,bijen,Deze tuin is ontworpen in een onderhoudsvriendelijk stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
565240,Tuin_10,Modern,"Echte valeriaan, Beemdkroon, Vlasbekje, Sint-janskruid, Echte sleutelbloem, Boerenwormkruid",6,"bijen, vlinders","Deze tuin is ontworpen in een modern stijl. Deze tuin trekt vooral bijen, vlinders aan en draagt bij aan een levendige tuinomgeving."
638060,Tuin_11,Onderhoudsvriendelijk,"Rode klaver, Sint-janskruid, Klimopereprijs, Look-zonder-look, Echte koekoeksbloem",5,bijen,Deze tuin is ontworpen in een onderhoudsvriendelijk stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
104183,Tuin_12,Natuurlijk,"Gewone ossentong, Kleine bevernel, Gevlekte aronskelk, Egelboterbloem, Knikkende distel, Wilde reseda, Echte koekoeksbloem",7,"bijen, vlinders","Deze tuin is ontworpen in een natuurlijk stijl. Deze tuin trekt vooral bijen, vlinders aan en draagt bij aan een levendige tuinomgeving."
589962,Tuin_13,Klassiek,"Dagkoekoeksbloem, Blaassilene, Rode klaver, Echte koekoeksbloem, Egelboterbloem, Kruipwilg",6,bijen,Deze tuin is ontworpen in een klassiek stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
295611,Tuin_14,Klassiek,"Kruipend zenegroen, Kruipwilg, Veldzuring, Gewone ossentong, Echte koekoeksbloem, Gele morgenster",6,bijen,Deze tuin is ontworpen in een klassiek stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
219187,Tuin_15,Modern,"Dagkoekoeksbloem, Vlasbekje, Sint-janskruid, Echte koekoeksbloem, Duizendguldenkruid, Moerasvergeet-mij-nietje",6,"bijen, vlinders","Deze tuin is ontworpen in een modern stijl. Deze tuin trekt vooral bijen, vlinders aan en draagt bij aan een levendige tuinomgeving."
769838,Tuin_16,Modern,"Wilde cichorei, Echte kamille, Zandblauwtje, Pinksterbloem, Kleine bevernel, Ruw vergeet-mij-nietje",6,bijen,Deze tuin is ontworpen in een modern stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
458749,Tuin_17,Modern,"Gewone dotterbloem, Boerenwormkruid, Echte sleutelbloem, Beemdkroon, Wilde cichorei, Echte koekoeksbloem",6,bijen,Deze tuin is ontworpen in een modern stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
106743,Tuin_18,Natuurlijk,"Veldbeemdgras, Blaassilene, Egelboterbloem, Kleine bevernel, Gele morgenster, Grote kaardebol, Gewone margriet",7,bijen,Deze tuin is ontworpen in een natuurlijk stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
297426,Tuin_19,Natuurlijk,"Gevlekte aronskelk, Ruw vergeet-mij-nietje, Zandraket, Wilde narcis, Bosandoorn, Wilde reseda, Kleine bevernel",7,bijen,Deze tuin is ontworpen in een natuurlijk stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
363701,Tuin_20,Onderhoudsvriendelijk,"Boerenwormkruid, Zomerfijnstraal, Kruipwilg, Gewone ossentong, Look-zonder-look",5,bijen,Deze tuin is ontworpen in een onderhoudsvriendelijk stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
